frequency,word,reason,include
7087,scarcely,Nuanced adverb,Y
7088,cabbage,Food,N
7089,slack,Multiple meanings,Y
7090,lumber,Simple noun,N
7091,extensively,Nuanced adverb,Y
7092,societal,Nuanced adjective,Y
7093,prevalent,Nuanced adjective,Y
7094,benign,Nuanced adjective,Y
7095,calmly,Simple adverb,N
7097,dedication,Abstract noun,Y
7098,inequality,Abstract noun,Y
7099,archaeological,Nuanced adjective,Y
7100,boulder,Simple noun,N
7101,kidnap,Nuanced verb,Y
7103,windshield,Simple noun,N
7104,rugged,Nuanced adjective,Y
7105,preschool,Simple noun,N
7107,apt,Multiple meanings,Y
7108,earnest,Nuanced adjective,Y
7110,optimal,Nuanced adjective,Y
7112,coherent,Nuanced adjective,Y
7114,canned,Multiple meanings,Y
7115,simplicity,Abstract noun,Y
7116,staple,Multiple meanings,Y
7117,plaque,Multiple meanings,Y
7118,confidential,Nuanced adjective,Y
7119,autobiography,Simple noun,N
7120,superstar,Simple noun,N
7122,sleek,Nuanced adjective,Y
7125,compatible,Nuanced adjective,Y
7126,intensely,Nuanced adverb,Y
7127,indirectly,Nuanced adverb,Y
7128,deduction,Multiple meanings,Y
7129,whiskey,Simple noun,N
7130,dune,Simple noun,N
7131,grilled,Simple adjective,N
7132,rinse,Simple verb,N
7133,vigorously,Nuanced adverb,Y
7134,interpersonal,Nuanced adjective,Y
7136,staircase,Simple noun,N
7137,shipping,Multiple meanings,Y
7138,susceptible,Nuanced adjective,Y
7139,inconsistent,Nuanced adjective,Y
7140,sunglasses,Simple noun,N
7141,appealing,Nuanced adjective,Y
7142,ambiguity,Abstract noun,Y
7143,relentless,Nuanced adjective,Y
7144,fixture,Multiple meanings,Y
7145,tester,Simple noun,N
7146,crumble,Nuanced verb,Y
7147,vampire,Simple noun,N
7149,canopy,Simple noun,N
7150,certify,Nuanced verb,Y
7152,vase,Simple noun,N
7153,merchandise,Abstract noun,Y
7154,periodically,Nuanced adverb,Y
7155,negotiator,Nuanced noun,Y
7156,maternal,Nuanced adjective,Y
7157,gardening,Simple noun,N
7158,massage,Simple noun,N
7159,loneliness,Abstract noun,Y
7160,cynical,Nuanced adjective,Y
7161,blunt,Multiple meanings,Y
7163,excel,Multiple meanings,Y
7164,fungus,Simple noun,N
7165,accidentally,Nuanced adverb,Y
7166,gratitude,Abstract noun,Y
7167,astronomical,Multiple meanings,Y
7168,emperor,Simple noun,N
7169,affiliation,Abstract noun,Y
7170,authoritarian,Nuanced adjective,Y
7171,hue,Nuanced noun,Y
7172,triple,Multiple meanings,Y
7173,enzyme,Technical,N
7175,outraged,Nuanced adjective,Y
7176,disparity,Abstract noun,Y
7177,cease-fire,Nuanced noun,Y
7178,deepest,Basic superlative,N
7179,intercept,Nuanced verb,Y
7180,postal,Simple adjective,N
7181,ambiguous,Nuanced adjective,Y
7184,surviving,Nuanced adjective,Y
7185,cylinder,Simple noun,N
7186,cafeteria,Simple noun,N
7187,dire,Nuanced adjective,Y
7188,membrane,Technical,N
7189,preceding,Nuanced adjective,Y
7190,selling,Basic gerund,N
7192,allocation,Abstract noun,Y
7193,dismantle,Nuanced verb,Y
7194,honorable,Nuanced adjective,Y
7195,communism,Abstract noun,Y
7196,pave,Multiple meanings,Y
7197,heap,Multiple meanings,Y
7198,high-speed,Simple compound,N
7199,precaution,Abstract noun,Y
7200,fry,Simple verb,N
7201,glide,Nuanced verb,Y
7202,high-profile,Nuanced compound,Y
7203,infectious,Nuanced adjective,Y
7205,nervously,Nuanced adverb,Y
7206,onset,Abstract noun,Y
7207,infrared,Technical,N
7208,activism,Abstract noun,Y
7209,unstable,Nuanced adjective,Y
7210,heated,Multiple meanings,Y
7211,invariably,Nuanced adverb,Y
7212,pottery,Simple noun,N
7213,qualitative,Nuanced adjective,Y
7214,saucepan,Simple noun,N
7215,awe,Abstract noun,Y
7216,internationally,Nuanced adverb,Y
7217,informant,Nuanced noun,Y
7218,myriad,Nuanced noun/adjective,Y
7219,reluctantly,Nuanced adverb,Y
7221,scout,Multiple meanings,Y
7222,metro,Simple noun,N
7225,insufficient,Nuanced adjective,Y
7226,folder,Simple noun,N
7227,exposed,Nuanced adjective,Y
7228,exemption,Abstract noun,Y
7229,crap,Slang,N
7230,stew,Simple noun/verb,N
7232,governing,Nuanced adjective,Y
7233,antenna,Simple noun,N
7234,printed,Basic adjective,N
7235,subcommittee,Simple noun,N
7236,trousers,Simple clothing,N
7237,plausible,Nuanced adjective,Y
7238,co-author,Simple noun,N
7240,sneakers,Simple clothing,N
7241,someplace,Basic adverb,N
7242,rep,Multiple meanings,Y
7243,energetic,Nuanced adjective,Y
7244,secrecy,Abstract noun,Y
7245,abusive,Nuanced adjective,Y
7248,airborne,Nuanced adjective,Y
7249,harass,Nuanced verb,Y
7251,ethic,Abstract noun,Y
7252,embarrass,Nuanced verb,Y
7254,substantive,Nuanced adjective,Y
7255,endanger,Nuanced verb,Y
7256,grader,Simple noun,N
7257,billboard,Simple noun,N
7258,confer,Nuanced verb,Y
7259,daytime,Simple noun,N
7260,paralyze,Nuanced verb,Y
7261,designated,Nuanced adjective,Y
7262,thermal,Nuanced adjective,Y
7263,precinct,Nuanced noun,Y
7265,arouse,Nuanced verb,Y
7267,shrub,Simple noun,N
7268,underway,Nuanced adjective,Y
7269,napkin,Simple noun,N
7270,pressing,Nuanced adjective,Y
7271,consolidate,Nuanced verb,Y
7272,stressful,Nuanced adjective,Y
7273,tribunal,Legal term,Y
7274,unload,Multiple meanings,Y
7275,dental,Simple adjective,N
7276,cockpit,Simple noun,N
7277,nationalist,Nuanced noun,Y
7278,pornography,Simple noun,N
7279,urine,Technical,N
7280,obesity,Abstract noun,Y
7281,affluent,Nuanced adjective,Y
7282,cozy,Nuanced adjective,Y
7284,takeover,Multiple meanings,Y
7285,exacerbate,Nuanced verb,Y
7287,milky,Simple adjective,N
7288,innings,Sports,N
7289,realism,Abstract noun,Y
7290,knight,Multiple meanings,Y
7291,tangible,Nuanced adjective,Y
7292,feat,Nuanced noun,Y
7293,groan,Simple verb,N
7294,militant,Nuanced adjective/noun,Y
7295,dwell,Nuanced verb,Y
7297,torch,Multiple meanings,Y
7298,lurk,Nuanced verb,Y
7299,hay,Simple noun,N
7300,spinach,Food,N
7302,mistress,Multiple meanings,Y
7303,swiftly,Nuanced adverb,Y
7304,terminate,Nuanced verb,Y
7305,huddle,Multiple meanings,Y
7307,tactical,Nuanced adjective,Y
7309,attic,Simple noun,N
7310,constellation,Simple noun,N
7311,beetle,Animal,N
7313,populate,Nuanced verb,Y
7314,maneuver,Multiple meanings,Y
7315,pearl,Simple noun,N
7316,probation,Legal term,Y
7317,wreck,Multiple meanings,Y
7318,smack,Multiple meanings,Y
7319,all-time,Nuanced compound,Y
7321,civilized,Nuanced adjective,Y
7322,subscriber,Simple noun,N
7323,pirate,Multiple meanings,Y
7325,sewage,Simple noun,N
7326,renowned,Nuanced adjective,Y
7327,gee,Interjection,N
7328,would-be,Nuanced compound,Y
7329,baptist,Religious term,N
7330,dusk,Simple noun,N
7331,sweetheart,Simple noun,N
7332,platter,Simple noun,N
7333,masculine,Nuanced adjective,Y
7334,lingering,Nuanced adjective,Y
7335,printing,Simple noun,N
7336,crumb,Simple noun,N
7337,disposition,Abstract noun,Y
7338,allergy,Simple noun,N
7340,provocative,Nuanced adjective,Y
7341,stolen,Basic adjective,N
7343,batter,Multiple meanings,Y
7344,dart,Multiple meanings,Y
7345,reversal,Abstract noun,Y
7346,wax,Multiple meanings,Y
7347,disappointing,Nuanced adjective,Y
7348,sob,Simple verb,N
7350,allegiance,Abstract noun,Y
7351,felony,Legal term,Y
7353,retiree,Simple noun,N
7354,graceful,Nuanced adjective,Y
7356,socialism,Abstract noun,Y
7357,freezer,Simple noun,N
7358,wholesale,Multiple meanings,Y
7359,disastrous,Nuanced adjective,Y
7360,fusion,Multiple meanings,Y
7362,adversary,Nuanced noun,Y
7363,voucher,Nuanced noun,Y
7364,subsidize,Nuanced verb,Y
7366,fingertip,Simple noun,N
7367,shovel,Simple noun,N
7368,puppet,Multiple meanings,Y
7370,chapel,Simple noun,N
7371,throne,Simple noun,N
7372,filling,Multiple meanings,Y
7373,intricate,Nuanced adjective,Y
7374,gunman,Simple noun,N
7375,pastoral,Nuanced adjective,Y
7376,scheduled,Basic adjective,N
7377,orchard,Simple noun,N
7378,floating,Multiple meanings,Y
7379,explosives,Simple noun,N
7381,fingerprint,Simple noun,N
7382,auditor,Nuanced noun,Y
7383,renovation,Simple noun,N
7384,mural,Simple noun,N
7385,burger,Simple food,N
7386,right-wing,Political term,Y
7387,glue,Simple noun,N
7388,chick,Multiple meanings,Y
7389,chord,Multiple meanings,Y
7391,sideline,Multiple meanings,Y
7392,visibility,Multiple meanings,Y
7393,diaper,Simple noun,N
7394,restructuring,Abstract noun,Y
7395,unified,Nuanced adjective,Y
7396,theatrical,Nuanced adjective,Y
7397,turbine,Technical,N
7398,frenzy,Abstract noun,Y
7399,incorrect,Simple adjective,N
7400,shining,Nuanced adjective,Y
7401,mankind,Abstract noun,Y
7403,serbian,Nationality,N
7404,betrayal,Abstract noun,Y
7406,baggage,Multiple meanings,Y
7408,condo,Simple noun,N
7409,veto,Nuanced noun/verb,Y
7410,shack,Simple noun,N
7411,showcase,Multiple meanings,Y
7412,eventual,Nuanced adjective,Y
7413,focal,Nuanced adjective,Y
7414,insurgent,Nuanced noun,Y
7417,bleak,Nuanced adjective,Y
7418,setback,Abstract noun,Y
7420,veil,Multiple meanings,Y
7421,traumatic,Nuanced adjective,Y
7422,renewable,Nuanced adjective,Y
7423,restless,Nuanced adjective,Y
7426,insistence,Abstract noun,Y
7427,severity,Abstract noun,Y
7428,pounding,Nuanced adjective,Y
7429,cheerful,Nuanced adjective,Y
7430,crusade,Multiple meanings,Y
7431,pakistani,Nationality,N
7432,deposition,Multiple meanings,Y
7433,sunrise,Simple noun,N
7434,extraordinarily,Nuanced adverb,Y
7435,published,Basic adjective,N
7436,competency,Abstract noun,Y
7437,torso,Simple body part,N
7438,entitlement,Abstract noun,Y
7439,puzzled,Nuanced adjective,Y
7440,stump,Multiple meanings,Y
7441,openness,Abstract noun,Y
7442,formulation,Abstract noun,Y
7444,diagram,Simple noun,N
7445,um,Interjection,N
7446,fuzzy,Multiple meanings,Y
7447,reconstruct,Nuanced verb,Y
7448,ginger,Food,N
7449,comb,Simple noun,N
7450,elimination,Abstract noun,Y
7451,pancake,Simple food,N
7452,hurl,Nuanced verb,Y
7453,luggage,Simple noun,N
7454,whoa,Interjection,N
7455,furnish,Multiple meanings,Y
7456,friction,Multiple meanings,Y
7457,segregation,Abstract noun,Y
7458,analytical,Nuanced adjective,Y
7459,aerial,Nuanced adjective,Y
7460,kin,Nuanced noun,Y
7461,voluntarily,Nuanced adverb,Y
7462,knowledgeable,Nuanced adjective,Y
7463,prosperous,Nuanced adjective,Y
7464,forensic,Nuanced adjective,Y
7465,foliage,Simple noun,N
7467,mid,Basic prefix,N
7468,unleash,Nuanced verb,Y
7469,controlled,Nuanced adjective,Y
7470,mama,Family,N
7471,pollutant,Technical,N
7473,giggle,Simple verb,N
7474,respectable,Nuanced adjective,Y
7475,tariff,Nuanced noun,Y
7476,examiner,Simple noun,N
7477,domination,Abstract noun,Y
7478,ignorant,Nuanced adjective,Y
7479,tick,Multiple meanings,Y
7480,cohort,Nuanced noun,Y
7481,dine,Nuanced verb,Y
7482,climbing,Simple noun,N
7483,multimedia,Simple adjective,N
7484,dispatch,Multiple meanings,Y
7485,disguise,Multiple meanings,Y
7486,hatch,Multiple meanings,Y
7487,raised,Nuanced adjective,Y
7489,prostate,Medical,N
7490,prolonged,Nuanced adjective,Y
7491,mediate,Nuanced verb,Y
7492,amend,Nuanced verb,Y
7493,lipstick,Simple noun,N
7494,seizure,Multiple meanings,Y
7495,signing,Simple noun,N
7496,imitation,Multiple meanings,Y
7497,raft,Multiple meanings,Y
7498,arthritis,Medical,N
7499,shifting,Nuanced adjective,Y
7500,genome,Technical,N
7501,cram,Nuanced verb,Y
7502,nutritional,Nuanced adjective,Y
7503,cathedral,Simple noun,N
7504,spike,Multiple meanings,Y
7505,sideways,Nuanced adverb,Y
7506,palette,Multiple meanings,Y
7507,selfish,Nuanced adjective,Y
7508,lament,Nuanced verb/noun,Y
7509,built-in,Nuanced compound,Y
7510,keeper,Multiple meanings,Y
7511,negatively,Nuanced adverb,Y
7512,worrying,Nuanced adjective,Y
7513,basil,Food/herb,N
7514,hmm,Interjection,N
7515,ignite,Multiple meanings,Y
7516,revolve,Nuanced verb,Y
7518,alternate,Multiple meanings,Y
7519,spa,Simple noun,N
7520,bully,Multiple meanings,Y
7521,arsenal,Nuanced noun,Y
7522,bracelet,Simple noun,N
7524,contaminate,Nuanced verb,Y
7526,inhibit,Nuanced verb,Y
7528,startling,Nuanced adjective,Y
7529,czech,Nationality,N
7530,disbelief,Abstract noun,Y
7531,alumnus,Nuanced noun,Y
7532,plight,Abstract noun,Y
7533,chaotic,Nuanced adjective,Y
7534,enormously,Nuanced adverb,Y
7535,hollow,Multiple meanings,Y
7537,default,Multiple meanings,Y
7538,listening,Basic gerund,N
7539,sickness,Simple noun,N
7540,vibration,Simple noun,N
7542,merry,Simple adjective,N
7543,disperse,Nuanced verb,Y
7544,awhile,Nuanced adverb,Y
7545,sober,Multiple meanings,Y
7546,madame,Simple noun,N
7547,comrade,Nuanced noun,Y
7548,corresponding,Nuanced adjective,Y
7549,rainbow,Simple noun,N
7551,sleepy,Simple adjective,N
7552,pub,Simple noun,N
7553,peek,Multiple meanings,Y
7554,camping,Simple noun,N
7555,saw,Tool noun,N
7556,youthful,Nuanced adjective,Y
7557,contradictory,Nuanced adjective,Y
7558,flatten,Nuanced verb,Y
7559,glowing,Nuanced adjective,Y
7560,nap,Simple noun,N
7561,roadside,Simple noun,N
7562,impair,Nuanced verb,Y
7563,unexpectedly,Nuanced adverb,Y
7564,presently,Nuanced adverb,Y
7565,distributor,Simple noun,N
7566,razor,Simple noun,N
7567,frantic,Nuanced adjective,Y
7568,constructive,Nuanced adjective,Y
7569,half-hour,Simple compound,N
7570,planting,Simple noun,N
7571,charcoal,Simple noun,N
7572,intrinsic,Nuanced adjective,Y
7573,starve,Multiple meanings,Y
7574,impatient,Nuanced adjective,Y
7575,high-quality,Simple compound,N
7576,reclaim,Nuanced verb,Y
7577,sewer,Simple noun,N
7578,catcher,Sports position,N
7579,prevalence,Abstract noun,Y
7581,cautiously,Nuanced adverb,Y
7582,fertile,Nuanced adjective,Y
7584,wield,Nuanced verb,Y
7585,slab,Simple noun,N
7586,fox,Animal,N
7587,timely,Nuanced adjective,Y
7588,daunting,Nuanced adjective,Y
7589,disgust,Abstract noun,Y
7590,southwestern,Geographic,N
7592,yogurt,Food,N
7593,prose,Nuanced noun,Y
7594,doom,Multiple meanings,Y
7595,eagerly,Nuanced adverb,Y
7597,crest,Multiple meanings,Y
7598,rancher,Simple job,N
7599,northeastern,Geographic,N
7600,niece,Family term,N
7601,gi,Simple noun,N
7602,rainy,Simple adjective,N
7603,layout,Nuanced noun,Y
7604,mumble,Simple verb,N
7605,capsule,Multiple meanings,Y
7606,respiratory,Medical,N
7608,hamburger,Food,N
7610,accidental,Nuanced adjective,Y
7611,eighty,Number,N
7612,lever,Simple noun,N
7613,upright,Multiple meanings,Y
7614,readiness,Abstract noun,Y
7615,abolish,Nuanced verb,Y
7616,persistence,Abstract noun,Y
7617,liberate,Nuanced verb,Y
7618,rhetorical,Nuanced adjective,Y
7619,year-round,Nuanced compound,Y
7621,yacht,Simple noun,N
7622,three-year,Simple compound,N
7623,desperation,Abstract noun,Y
7624,feminism,Abstract noun,Y
7625,anonymity,Abstract noun,Y
7626,autonomous,Nuanced adjective,Y
7627,hands-on,Nuanced compound,Y
7628,interstate,Nuanced adjective,Y
7629,liner,Multiple meanings,Y
7630,librarian,Simple job,N
7631,topple,Nuanced verb,Y
7633,inferior,Nuanced adjective,Y
7634,reinforcement,Multiple meanings,Y
7635,morale,Abstract noun,Y
7636,diversion,Multiple meanings,Y
7637,vastly,Nuanced adverb,Y
7638,almond,Food,N
7639,distortion,Abstract noun,Y
7640,sitting,Basic,N
7641,subsidiary,Nuanced noun,Y
7642,prophet,Nuanced noun,Y
7643,reminiscent,Nuanced adjective,Y
7644,validate,Nuanced verb,Y
7645,cooked,Basic adjective,N
7646,dime,Multiple meanings,Y
7647,pragmatic,Nuanced adjective,Y
7648,undercover,Nuanced adjective,Y
7649,orphan,Simple noun,N
7652,graze,Multiple meanings,Y
7653,founding,Nuanced adjective,Y
7654,inn,Simple noun,N
7655,persona,Nuanced noun,Y
7656,reel,Multiple meanings,Y
7658,preview,Multiple meanings,Y
7659,enlarge,Simple verb,N
7660,alleviate,Nuanced verb,Y
7661,real-life,Nuanced compound,Y
7663,protagonist,Nuanced noun,Y
7664,collectively,Nuanced adverb,Y
7666,comedian,Simple noun,N
7667,systematically,Nuanced adverb,Y
7668,colonel,Military rank,N
7670,best-selling,Nuanced compound,Y
7671,sprawling,Nuanced adjective,Y
7672,crunch,Multiple meanings,Y
7673,mock,Multiple meanings,Y
7674,escalate,Nuanced verb,Y
7675,cruiser,Multiple meanings,Y
7676,discretion,Abstract noun,Y
7677,arbitrary,Nuanced adjective,Y
7678,scrub,Multiple meanings,Y
7679,foe,Nuanced noun,Y
7680,stubborn,Nuanced adjective,Y
7681,rubble,Simple noun,N
7682,bathe,Simple verb,N
7684,polished,Multiple meanings,Y
7685,resemblance,Abstract noun,Y
7687,avert,Nuanced verb,Y
7688,cavity,Multiple meanings,Y
7689,conjunction,Multiple meanings,Y
7690,detain,Nuanced verb,Y
7691,outdoors,Simple noun,N
7692,genocide,Abstract noun,Y
7693,troubling,Nuanced adjective,Y
7694,crave,Nuanced verb,Y
7695,black-and-white,Multiple meanings,Y
7696,redefine,Nuanced verb,Y
7697,novice,Nuanced noun,Y
7698,tenth,Number ordinal,N
7700,catastrophic,Nuanced adjective,Y
7701,compliment,Commonly confused,Y
7702,unrelated,Nuanced adjective,Y
7703,blueprint,Multiple meanings,Y
7704,progression,Abstract noun,Y
7705,animation,Multiple meanings,Y
7706,pedestrian,Multiple meanings,Y
7708,nude,Nuanced adjective,Y
7709,residue,Nuanced noun,Y
7710,agony,Abstract noun,Y
7711,shorten,Simple verb,N
7712,hiring,Simple noun,N
7713,runoff,Multiple meanings,Y
7715,applicable,Nuanced adjective,Y
7716,professionally,Nuanced adverb,Y
7717,accustom,Nuanced verb,Y
7718,empathy,Abstract noun,Y
7720,deteriorate,Nuanced verb,Y
7721,collide,Multiple meanings,Y
7722,reap,Multiple meanings,Y
7724,feasible,Nuanced adjective,Y
7725,bargaining,Abstract noun,Y
7726,mastery,Abstract noun,Y
7728,directive,Nuanced noun,Y
7729,preventive,Nuanced adjective,Y
7730,arrogant,Nuanced adjective,Y
7731,oneself,Nuanced pronoun,Y
7732,dubious,Nuanced adjective,Y
7733,facade,Multiple meanings,Y
7734,bypass,Multiple meanings,Y
7735,creamy,Simple adjective,N
7737,underlie,Nuanced verb,Y
7738,playwright,Simple noun,N
7740,binoculars,Simple noun,N
7741,vent,Multiple meanings,Y
7742,nineteenth-century,Simple compound,N
7743,eclipse,Multiple meanings,Y
7744,enhanced,Nuanced adjective,Y
7746,loading,Basic,N
7748,foresee,Nuanced verb,Y
7749,harmless,Nuanced adjective,Y
7750,premier,Multiple meanings,Y
7751,peril,Abstract noun,Y
7752,bracket,Multiple meanings,Y
7753,paste,Multiple meanings,Y
7754,bra,Simple clothing,N
7755,bruise,Simple noun,N
7756,wade,Multiple meanings,Y
7757,mediterranean,Geographic,N
7759,poultry,Food,N
7760,reign,Nuanced noun/verb,Y
7762,rewrite,Simple verb,N
7763,enjoyment,Abstract noun,Y
7764,automaker,Simple noun,N
7765,rightly,Nuanced adverb,Y
7766,sitcom,Simple noun,N
7767,patriotic,Nuanced adjective,Y
7768,cracker,Multiple meanings,Y
7769,convicted,Nuanced adjective,Y
7770,impeachment,Political term,Y
7772,advertiser,Simple noun,N
7773,procession,Nuanced noun,Y
7774,genetics,Academic field,Y
7776,perpetuate,Nuanced verb,Y
7777,dictatorship,Abstract noun,Y
7778,gosh,Interjection,N
7779,payoff,Multiple meanings,Y
7780,heterosexual,Nuanced adjective,Y
7783,moan,Simple verb,N
7784,lessen,Nuanced verb,Y
7785,fashionable,Nuanced adjective,Y
7786,conquest,Abstract noun,Y
7787,railing,Simple noun,N
7788,packaging,Simple noun,N
7789,expectancy,Abstract noun,Y
7790,lebanese,Nationality,N
7791,parliamentary,Nuanced adjective,Y
7792,inheritance,Multiple meanings,Y
7793,methodist,Religious,N
7794,briefcase,Simple noun,N
7795,infamous,Nuanced adjective,Y
7796,quantitative,Nuanced adjective,Y
7797,brink,Nuanced noun,Y
7799,paycheck,Simple noun,N
7800,plum,Food,N
7802,elevated,Nuanced adjective,Y
7803,kidnapping,Simple noun,N
7804,inherently,Nuanced adverb,Y
7805,cellar,Simple noun,N
7807,breakup,Multiple meanings,Y
7808,boiling,Multiple meanings,Y
7809,recede,Nuanced verb,Y
7810,abound,Nuanced verb,Y
7811,allowance,Multiple meanings,Y
7812,linkage,Abstract noun,Y
7813,roast,Multiple meanings,Y
7814,depiction,Abstract noun,Y
7815,plummet,Nuanced verb,Y
7816,kindness,Abstract noun,Y
7817,repression,Abstract noun,Y
7818,lust,Abstract noun,Y
7819,masterpiece,Nuanced noun,Y
7820,culminate,Nuanced verb,Y
7821,low-fat,Simple compound,N
7823,maze,Multiple meanings,Y
7824,watershed,Multiple meanings,Y
7825,humiliation,Abstract noun,Y
7826,pronounced,Nuanced adjective,Y
7830,drainage,Simple noun,N
7831,implicate,Nuanced verb,Y
7832,wartime,Simple noun,N
7833,multinational,Nuanced adjective,Y
7835,refined,Multiple meanings,Y
7836,ordeal,Abstract noun,Y
7837,periodic,Nuanced adjective,Y
7838,inning,Sports,N
7839,snapshot,Multiple meanings,Y
7840,long-distance,Simple compound,N
7841,adore,Nuanced verb,Y
7842,literal,Nuanced adjective,Y
7843,slippery,Multiple meanings,Y
7844,splendid,Nuanced adjective,Y
7845,mesh,Multiple meanings,Y
7847,discern,Nuanced verb,Y
7848,foul,Multiple meanings,Y
7849,proven,Nuanced adjective,Y
7850,politely,Nuanced adverb,Y
7851,dove,Multiple meanings,Y
7852,solicit,Nuanced verb,Y
7853,ache,Multiple meanings,Y
7855,alarming,Nuanced adjective,Y
7856,thinly,Nuanced adverb,Y
7857,nasal,Simple adjective,N
7858,tentative,Nuanced adjective,Y
7859,outing,Multiple meanings,Y
7860,stagger,Multiple meanings,Y
7861,paid,Basic adjective,N
7862,homer,Sports term,N
7863,nudge,Multiple meanings,Y
7864,conjure,Nuanced verb,Y
7865,trajectory,Nuanced noun,Y
7866,parcel,Multiple meanings,Y
7868,unsuccessful,Nuanced adjective,Y
7869,wicked,Multiple meanings,Y
7870,informed,Nuanced adjective,Y
7871,trained,Basic adjective,N
7872,spicy,Simple adjective,N
7873,intercourse,Multiple meanings,Y
7874,ornament,Simple noun,N
7875,uprising,Nuanced noun,Y
7876,endurance,Abstract noun,Y
7877,constrain,Nuanced verb,Y
7878,pinch,Multiple meanings,Y
7879,comforting,Nuanced adjective,Y
7881,orderly,Multiple meanings,Y
7882,intentionally,Nuanced adverb,Y
7883,dealings,Nuanced noun,Y
7884,recess,Multiple meanings,Y
7885,blog,Simple noun,N
7886,buildup,Multiple meanings,Y
7887,surf,Multiple meanings,Y
7888,nationality,Abstract noun,Y
7889,sunshine,Simple noun,N
7890,flake,Multiple meanings,Y
7891,culinary,Nuanced adjective,Y
7892,alcoholic,Multiple meanings,Y
7894,appraisal,Abstract noun,Y
7895,reconsider,Nuanced verb,Y
7896,newborn,Simple noun,N
7897,saga,Nuanced noun,Y
7898,opener,Multiple meanings,Y
7899,sliced,Basic adjective,N
7900,explorer,Simple noun,N
7901,degradation,Abstract noun,Y
7902,offshore,Nuanced adjective,Y
7903,superiority,Abstract noun,Y
7904,biodiversity,Technical term,Y
7906,fingernail,Simple body part,N
7907,questioning,Nuanced adjective,Y
7909,cubic,Simple adjective,N
7910,bum,Multiple meanings,Y
7911,asylum,Multiple meanings,Y
7913,exemplify,Nuanced verb,Y
7914,pedal,Simple noun,N
7915,hiss,Simple verb,N
7916,incapable,Nuanced adjective,Y
7917,adulthood,Abstract noun,Y
7918,slower,Basic comparative,N
7919,autopsy,Simple noun,N
7920,gigantic,Simple adjective,N
7922,repertoire,Nuanced noun,Y
7923,scrutinize,Nuanced verb,Y
7924,rehearse,Nuanced verb,Y
7925,imported,Nuanced adjective,Y
7926,iq,Abbreviation,N
7927,shuffle,Multiple meanings,Y
7928,rethink,Nuanced verb,Y
7929,psyche,Abstract noun,Y
7930,residual,Nuanced adjective,Y
7932,loft,Multiple meanings,Y
7933,kurdish,Nationality,N
7934,crate,Simple noun,N
7935,uranium,Technical,N
7936,scottish,Nationality,N
7938,fiercely,Nuanced adverb,Y
7939,layoff,Nuanced noun,Y
7940,lizard,Animal,N
7942,penis,Body part,N
7943,marvel,Multiple meanings,Y
7944,tailor,Multiple meanings,Y
7945,ceramic,Simple adjective,N
7946,gem,Multiple meanings,Y
7947,violently,Nuanced adverb,Y
7949,scattered,Nuanced adjective,Y
7950,compassionate,Nuanced adjective,Y
7952,brighten,Multiple meanings,Y
7953,champ,Multiple meanings,Y
7954,convene,Nuanced verb,Y
7955,roasted,Simple adjective,N
7956,nineteen,Number,N
7957,wrinkle,Multiple meanings,Y
7958,psychic,Multiple meanings,Y
7959,amongst,Nuanced preposition,Y
7961,fireworks,Simple noun,N
7962,compute,Nuanced verb,Y
7964,comprehension,Abstract noun,Y
7965,interviewer,Simple noun,N
7966,painfully,Nuanced adverb,Y
7967,aspire,Nuanced verb,Y
7968,landowner,Simple noun,N
7969,pardon,Multiple meanings,Y
7970,hawaiian,Nationality,N
7971,fiery,Nuanced adjective,Y
7973,specification,Nuanced noun,Y
7975,twenty-four,Number,N
7976,aspirin,Simple noun,N
7978,dependency,Abstract noun,Y
7979,walnut,Food,N
7980,pier,Simple noun,N
7981,bluff,Multiple meanings,Y
7982,tracking,Simple noun,N
7984,computing,Abstract noun,Y
7985,slick,Multiple meanings,Y
7986,nickel,Multiple meanings,Y
7987,onstage,Nuanced adverb,Y
7988,enhancement,Abstract noun,Y
7990,geometry,Academic field,Y
7991,hog,Multiple meanings,Y
7992,broccoli,Food,N
7994,resonate,Nuanced verb,Y
7995,capitalist,Nuanced noun/adjective,Y
7997,ideally,Nuanced adverb,Y
8000,chemotherapy,Medical,N
8001,breach,Multiple meanings,Y
8002,knob,Simple noun,N
8003,tablet,Multiple meanings,Y
8004,helping,Multiple meanings,Y
8005,attribution,Abstract noun,Y
8007,jersey,Multiple meanings,Y
8009,ineffective,Nuanced adjective,Y
8010,squat,Multiple meanings,Y
8012,fumble,Multiple meanings,Y
8013,cardboard,Simple noun,N
8014,erotic,Nuanced adjective,Y
8015,glacier,Simple noun,N
8017,polling,Nuanced noun,Y
8018,yoga,Simple noun,N
8019,sediment,Technical,N
8020,working-class,Nuanced compound,Y
8021,recollection,Abstract noun,Y
8023,lobbying,Nuanced noun,Y
8024,fallen,Nuanced adjective,Y
8025,akin,Nuanced adjective,Y
8026,estrogen,Medical,N
8027,bartender,Simple job,N
8028,evaporate,Multiple meanings,Y
8029,succumb,Nuanced verb,Y
8030,seventy,Number,N
8031,radioactive,Technical,N
8032,seasoned,Multiple meanings,Y
8033,simulate,Nuanced verb,Y
8034,stature,Multiple meanings,Y
8035,recruiting,Nuanced noun,Y
8036,forearm,Body part,N
8037,volleyball,Sports,N
8038,intrigue,Multiple meanings,Y
8039,graph,Simple noun,N
8040,alignment,Multiple meanings,Y
